,ADT,Short,Medium,Long
0,22,20,19,24
1,22,23,23,22
2,7,10,10,7
3,15,15,25,15
4,12,17,17,22
5,47,48,44,41
6,9,10,10,9
7,32,32,32,17
8,13,24,20,24
9,16,16,15,24
10,29,21,21,29
11,24,23,21,51
12,15,15,16,14
13,39,31,30,36
14,7,17,17,7
15,42,40,26,46
16,7,8,8,8
17,39,43,43,39
18,20,19,19,23
19,24,27,26,28
20,17,34,28,35
21,19,22,22,33
22,31,25,25,31
23,19,15,21,19
24,27,26,27,31
25,21,34,21,79
26,22,28,27,27
27,28,28,28,39
28,20,19,19,20
29,36,28,30,71
30,16,16,17,17
31,62,51,48,48
32,20,27,27,37
33,11,26,24,27
34,40,31,28,40
35,12,16,16,9
36,16,33,33,34
37,22,30,28,38
38,53,41,27,46
39,18,18,19,14
40,8,16,16,15
41,19,47,28,53
42,41,31,30,40
43,18,25,27,29
44,11,11,11,18
45,23,31,31,33
46,28,53,30,63
47,42,31,32,43
48,13,12,13,22
49,14,16,16,17
50,16,23,20,12
51,13,11,13,17
52,16,16,16,11
53,26,27,27,30
54,9,9,9,9
55,25,24,18,28
56,32,29,32,31
57,52,25,27,76
58,7,17,17,7
59,16,16,17,17
60,21,25,24,30
61,22,22,22,23
62,19,27,27,33
63,21,21,21,35
64,23,21,21,20
65,63,45,47,68
66,18,15,18,23
67,15,33,36,12
68,9,10,10,10
69,35,32,32,25
70,27,28,28,18
71,35,32,31,35
72,20,32,20,34
73,50,31,23,35
74,6,9,9,9
75,20,21,21,19
76,22,24,21,81
77,11,12,12,8
78,17,17,17,12
79,34,38,38,14
80,32,31,29,29
81,38,24,24,24
82,13,14,13,17
83,18,18,21,18
84,11,17,18,12
85,30,23,23,7
86,17,29,29,43
87,17,17,17,25
88,38,34,34,47
89,17,25,25,27
90,24,23,22,24
91,27,28,26,27
92,11,16,15,14
93,14,15,15,20
94,14,16,16,18
95,9,35,36,20
96,31,32,38,6
97,36,29,29,7
98,42,38,30,37
99,20,27,29,33
