,current_time,future_timepoint,t1,t2,t3,t4,t5,t6,r1,r2,r3,r4,r5,r6,no treatment,treatment,alive,dead,not testing,testing
0,0,1,0.21388888888888885,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.11944444444444444,0.08333333333333331,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.24999999999999994,0.0,1.0,0.8333333333333333,0.16666666666666677,0.0,1.0
1,0,2,0.24315277777777766,0.1735138888888888,0.16666666666666657,0.16666666666666657,0.1495879629629629,0.10041203703703701,0.04166666666666664,0.12499999999999992,0.16666666666666655,0.16666666666666655,0.16666666666666655,0.3333333333333331,0.0,1.0,0.7337962962962961,0.2662037037037038,0.0,1.0
2,0,3,0.25930949074074044,0.18263339120370348,0.16777934027777755,0.16118724922839484,0.13658597608024675,0.0925045524691357,0.02083333333333329,0.08333333333333316,0.14583333333333304,0.16666666666666632,0.16666666666666632,0.4166666666666658,0.0,1.0,0.6601143154149514,0.33988568458504786,0.0,1.0
3,0,4,0.1815166435185179,0.2056362210648141,0.17223555555555495,0.1631648765432093,0.14396635802469085,0.13348034529320946,0.05912852309992252,0.11205472565827485,0.15540713077497986,0.16666666666666574,0.28155223596643364,0.22519071783371788,1.0,0.0,0.5990507360890207,0.40094926391097746,0.0,1.0
4,0,5,0.12706165046296183,0.19840034780092416,0.1822557552083317,0.1658860802469121,0.14972591358024556,0.1766702527006157,0.1159947932818565,0.13405548973065612,0.16112119420584564,0.2249695520240344,0.25294952154121997,0.11090944921637291,1.0,0.0,0.5190892369877048,0.4809107630122898,0.0,1.0
5,0,6,0.08894315532407199,0.1769987385995329,0.18709913298610673,0.1707969827353355,0.15457396358024328,0.22158802677468617,0.19011215438745743,0.14901973025668963,0.19642203717705142,0.2404392766029755,0.17441759902823945,0.04958920254754865,1.0,0.0,0.42738161031491256,0.5726183896850732,0.0,1.0
6,1,2,0.24321340646121617,0.17355106025079578,0.16669192705513672,0.1666737417621445,0.1495389698063629,0.10033089466434372,0.04166666666666662,0.12500000000000003,0.16666666666666682,0.16666666666666682,0.16666666666666682,0.3333333333333326,0.0,0.9999999999999999,0.7340524970793771,0.26594750292062275,0.0,1.0
7,1,3,0.2593721930750655,0.1826705529430484,0.1678007017512629,0.16117929086977573,0.13653577947444617,0.0924414818864007,0.020833333333333297,0.08333333333333327,0.14583333333333331,0.1666666666666667,0.1666666666666667,0.41666666666666574,0.0,0.9999999999999999,0.6604043533168075,0.33959564668319214,0.0,1.0
8,1,4,0.26554696185379584,0.19203479493416253,0.16854748039417955,0.15531065429407448,0.12830638268653402,0.09025372583725193,0.01041666666666663,0.05208333333333319,0.11458333333333309,0.15624999999999972,0.1666666666666664,0.4999999999999982,0.0,0.9999999999999999,0.5993555962519713,0.4006444037480278,0.0,1.0
9,1,5,0.18588287329765657,0.21408844501005192,0.17559367475617396,0.15928170212410556,0.1364076641687958,0.12874564064321178,0.03383070616173324,0.08018018072741298,0.13331456492938595,0.16093280789901238,0.316516519435092,0.27522522084735623,0.9999999999999999,0.0,0.5452615205888223,0.4547384794111752,0.0,1.0
10,1,6,0.13011801130835865,0.2056267734963318,0.18714210583233598,0.16417529391372487,0.14326987555538767,0.16966793989384932,0.07377823208458512,0.10665289718984092,0.1470745797729975,0.2384480279119306,0.2959442881709866,0.13810197486964038,0.9999999999999999,0.0,0.4750614768025201,0.5249385231974729,0.0,1.0
11,1,7,0.09108260791584934,0.18297414483993638,0.1926875061315311,0.17106533748930497,0.149541501062886,0.21264890256046162,0.13184356548392687,0.12865978624392155,0.19682128023618684,0.2697508767713873,0.2100097586096053,0.06291473265492273,0.9999999999999999,0.0,0.3944587747105013,0.6055412252894801,0.0,1.0
12,2,3,0.5013082119569129,0.37666777558997666,0.10292347103349489,0.017659798996447762,0.0014292102659260487,1.1532157241543858e-05,0.05791898541456231,0.13041743958263194,0.1666666666666668,0.1666666666666668,0.18833642499719416,0.2899938166722776,1.0,0.0,1.0,1.1519173039877376e-16,1.0,0.0
13,2,4,0.3509157483698389,0.41405990650005736,0.18504676240043935,0.04323890060756188,0.006298386885082561,0.0004402952370193583,0.08302863221249511,0.13739660810250973,0.1666666666666667,0.17083880790496603,0.20790881660010663,0.23416046851325487,1.0,0.0,0.9999884678427582,1.1532157241659049e-05,1.0,0.0
14,2,5,0.24564102385888698,0.39511665906099147,0.2537507056303245,0.08578125914542503,0.01738054100182634,0.002329811302544124,0.11828072155703048,0.14490647849795346,0.16773712028063645,0.1803499252212595,0.21464424909341429,0.1740815053497034,1.0,0.0,0.9995481776832922,0.0004518223167071112,0.0,1.0
15,2,6,0.17194871670122044,0.3502739685003592,0.29616049165952385,0.1361720930908945,0.037900756444905856,0.007543973603092008,0.16478840321920454,0.15223396468889744,0.17178519544694987,0.19135667601665685,0.2016256512161383,0.11821010941214641,1.0,0.0,0.9972194190414867,0.002780580958511027,0.0,1.0
16,2,7,0.1203641016908535,0.2967763929606156,0.31239453471177236,0.1841686126614821,0.067382157438702,0.01891420053656364,0.22327054642861002,0.15974475821942768,0.17930376813758764,0.19530160170690536,0.1695807677261699,0.07279855778128208,1.0,0.0,0.9896964220677429,0.01030357793225074,0.0,1.0
17,2,8,0.084254871183596,0.24385270557968272,0.30770909218642,0.22263638927656534,0.10241809400553425,0.03912884776817357,0.2943330162886627,0.16844558551600738,0.1864204058195796,0.18385968642964912,0.12652719304954663,0.04041411289650904,1.0,0.0,0.9709771054704234,0.029022894529559445,0.0,1.0
18,3,4,0.35091574836983913,0.4140599065000574,0.18504676240043916,0.04323890060756194,0.006298386885082678,0.0004402952370194872,0.08302863221249492,0.13739660810250898,0.16666666666666707,0.17083880790496636,0.20790881660010702,0.23416046851325553,1.0,0.0,0.9999884678427582,1.1532157241643882e-05,1.0,0.0
19,3,5,0.24564102385888736,0.39511665906099186,0.2537507056303246,0.08578125914542509,0.017380541001826455,0.00232981130254429,0.11828072155703023,0.14490647849795316,0.167737120280637,0.1803499252212601,0.21464424909341503,0.1740815053497041,1.0,0.0,0.9995481776832924,0.00045182231670722495,0.0,1.0
20,3,6,0.17194871670122105,0.3502739685003603,0.2961604916595246,0.13617209309089487,0.03790075644490603,0.0075439736030922236,0.1647884032192047,0.1522339646888979,0.171785195446951,0.19135667601665812,0.20162565121613968,0.11821010941214725,1.0,0.0,0.9972194190414881,0.002780580958511308,0.0,1.0
21,3,7,0.12036410169085458,0.29677639296061814,0.3123945347117749,0.18416861266148354,0.0673821574387026,0.018914200536564008,0.22327054642861233,0.1597447582194298,0.17930376813759033,0.1953016017069083,0.1695807677261725,0.0727985577812832,1.0,0.0,0.9896964220677472,0.010303577932251255,0.0,1.0
22,3,8,0.0842548711835979,0.2438527055796882,0.3077090921864267,0.22263638927657015,0.1024180940055365,0.03912884776817465,0.29433301628867253,0.16844558551601346,0.18642040581958652,0.183859686429656,0.1265271930495514,0.04041411289651056,1.0,0.0,0.9709771054704358,0.029022894529560497,0.0,1.0
23,3,9,0.058978409828517965,0.19597335526085924,0.28855217620440243,0.24815820014952478,0.1384835825868453,0.06985427596983493,0.37888966753701714,0.17746862169119448,0.18513497078882318,0.1550798069624117,0.08329997718564909,0.0201269558348796,1.0,0.0,0.9329838901240944,0.06701610987589587,0.0,1.0
24,4,5,0.24564102385888742,0.3951166590609919,0.2537507056303247,0.0857812591454252,0.01738054100182655,0.002329811302544419,0.1182807215570304,0.1449064784979533,0.16773712028063714,0.1803499252212602,0.21464424909341517,0.17408150534970415,1.0,0.0,0.9995597047629803,0.00044029523701958674,0.0,1.0
25,4,6,0.17194871670122125,0.35027396850036063,0.29616049165952496,0.1361720930908951,0.037900756444906154,0.007543973603092386,0.1647884032192052,0.15223396468889824,0.17178519544695137,0.1913566760166585,0.20162565121614004,0.11821010941214741,1.0,0.0,0.9972309192652558,0.002769080734744341,0.0,1.0
26,4,7,0.12036410169085496,0.29677639296061903,0.3123945347117759,0.1841686126614842,0.06738215743870289,0.01891420053656425,0.22327054642861377,0.15974475821943068,0.1793037681375913,0.19530160170690936,0.16958076772617336,0.07279855778128354,1.0,0.0,0.9897078355341316,0.010292164465868985,0.0,1.0
27,4,8,0.08425487118359863,0.24385270557969027,0.30770909218642944,0.22263638927657214,0.10241809400553747,0.0391288477681752,0.2943330162886771,0.16844558551601596,0.18642040581958924,0.18385968642965864,0.12652719304955315,0.04041411289651111,1.0,0.0,0.9709883030602313,0.02901169693977051,0.0,1.0
