,t1,t2,t3,t4,t5,t6
0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,0.21394371704169624,0.16670468679419137,0.1666956012754344,0.16668179955971804,0.16665398652832888,0.11932020880063093
2,0.7161545885098758,0.23117342719573433,0.04795920410682089,0.004674339663430712,3.8440524138336484e-05,4.291636429465289e-17
3,0.5013082119569131,0.37666777558997644,0.10292347103349468,0.017659798996447925,0.0014292102659261448,1.1532157241643882e-05
4,0.3509157483698391,0.4140599065000573,0.1850467624004392,0.04323890060756202,0.006298386885082773,0.00044029523701958674
5,0.06731819764209354,0.41241932242034246,0.4264241721618397,0.08915847072137313,0.004620899763061448,5.8937291289605055e-05
6,0.04722653979524892,0.4885573700928,0.4149750811052242,0.048534773886487456,0.0007058769425455965,3.5817769388374313e-07
7,0.03305857785667433,0.35615812100353456,0.43704976780149674,0.15846686605210847,0.015054546025728255,0.0002121212604576628
8,0.025712100591659043,0.454564204970694,0.44978110374706765,0.068425361525911,0.001515929922283335,1.2992423848219495e-06
9,0.01799847041416142,0.32590857365698345,0.45121603411415545,0.18283208419225802,0.021588759403371724,0.00045607821906992204
10,0.0027962144249104844,0.1974112519426296,0.5629182446997731,0.22166864447607046,0.01506361531496669,0.000142029141649645
11,0.1033292784901168,0.3802149322754729,0.3589908856266735,0.13530238679368775,0.021089403960662185,0.0010731128533869756
12,0.07608404588961346,0.33658104655380705,0.38310352932525427,0.17052198163141355,0.031685689003758045,0.0020237075961535072
13,0.012496266578439852,0.23094944526363465,0.5311176178216104,0.208493709471067,0.016693252132152003,0.00024970873309606396
14,0.00020544824225240808,0.03975287033828947,0.4217122907331623,0.4654056002382731,0.07172865088787636,0.0011951395601464585
15,0.025032449669000676,0.2993647232097844,0.45160724672447783,0.19502990165532474,0.027897487880439345,0.0010681908609730076
16,0.01884727105518336,0.24823618723309845,0.4354759286220336,0.243412292810087,0.05070305468758747,0.003325265592009871
17,0.12254647765687854,0.3280323298909392,0.34417874995023245,0.1639379291486786,0.03730787915607701,0.003996634197194147
18,0.06747393989122775,0.26967343560074797,0.3758197586699813,0.22052343696159601,0.05888836671137022,0.0076210621650768095
19,0.17382690961269506,0.3252973233037938,0.3174556470767782,0.14595337626071422,0.03352888607808615,0.0039378576679325915
20,0.14137347559132837,0.31062879913329144,0.324979379186798,0.17541862079627735,0.04560995228139042,0.001989773010914425
