,r1,r2,r3,r4,r5,r6
0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,0.08333333333333354,0.16666666666666619,0.16666666666666619,0.16666666666666619,0.16666666666666619,0.2500000000000018
2,0.04166666666666685,0.12499999999999985,0.16666666666666616,0.16666666666666616,0.16666666666666616,0.3333333333333347
3,0.020833333333333516,0.08333333333333341,0.145833333333333,0.16666666666666616,0.16666666666666616,0.4166666666666677
4,0.010416666666666852,0.052083333333333544,0.11458333333333325,0.1562499999999996,0.1666666666666662,0.5000000000000006
5,0.0052083333333335265,0.03125000000000028,0.08333333333333344,0.13541666666666646,0.16145833333333293,0.5833333333333335
6,0.0026041666666668604,0.018229166666666997,0.05729166666666692,0.10937499999999997,0.1484374999999997,0.6640624999999997
7,0.0013020833333335289,0.01041666666666702,0.03776041666666704,0.0833333333333335,0.12890624999999986,0.7382812499999991
8,0.0006510416666668638,0.005859375000000369,0.024088541666667115,0.06054687500000032,0.10611979166666673,0.8027343749999986
9,0.0003255208333335323,0.003255208333333713,0.014973958333333828,0.0423177083333338,0.08333333333333359,0.8557942708333316
10,0.00016276041666686602,0.0017903645833337199,0.009114583333333863,0.028645833333333894,0.06282552083333375,0.8974609374999978
11,8.138020833353293e-05,0.000976562500000393,0.005452473958333891,0.01888020833333397,0.045735677083333884,0.9288736979166644
12,4.06901041668664e-05,0.0005289713541670624,0.0032145182291672394,0.012166341145834028,0.032307942708334,0.9517415364583308
13,2.0345052083533195e-05,0.00028483072916706404,0.0018717447916672511,0.007690429687500736,0.022237141927084095,0.9678955078124973
14,1.0172526041866593e-05,0.00015258789062539853,0.0010782877604172574,0.004781087239584094,0.01496378580729251,0.9790140787760389
15,5.086263021033294e-06,8.138020833373259e-05,0.0006154378255214273,0.002929687500000772,0.009872436523438395,0.9864959716796846
16,2.543131510616642e-06,4.323323567748286e-05,0.00034840901692767984,0.0017725626627611987,0.00640106201171968,0.9914321899414033
17,1.2715657554083182e-06,2.288818359414971e-05,0.0001958211263026809,0.0010604858398445389,0.004086812337240535,0.9946327209472626
18,6.357828778041599e-07,1.207987467487901e-05,0.00010935465494851527,0.0006281534830737094,0.002573649088542636,0.9966761271158824
19,3.178914390020797e-07,6.357828776441577e-06,6.0717264811797065e-05,0.00036875406901121195,0.0016009012858082719,0.9979629516601533
20,1.5894571960103972e-07,3.3378601078218245e-06,3.353754679421927e-05,0.00021473566691160423,0.000984827677409841,0.998763402303057
21,7.947285990051955e-08,1.7484029138114308e-06,1.843770345112053e-05,0.0001241366068530117,0.0005997816721608222,0.9992558161417613
22,3.973643005025977e-08,9.13937886955974e-07,1.009305318256597e-05,7.1287155152166e-05,0.0003619591395070171,0.9995557069778412
23,1.9868215125129857e-08,4.768371586031165e-07,5.503495534860966e-06,4.0690104167465965e-05,0.00021662314732969121,0.9997366865475942
24,9.934107662564942e-09,2.4835268696412273e-07,2.9901663468320365e-06,2.3096799851263446e-05,0.00012865662574867846,0.9998449981212585
25,4.967053931282483e-09,1.2914339741334376e-07,1.6192595169980778e-06,1.3043483099147744e-05,7.587671280007087e-05,0.9999093264341324
26,2.4835270656412445e-09,6.705522577231303e-08,8.742014573057091e-07,7.331371308172905e-06,4.44600979497092e-05,0.999947264790532
27,1.2417636328206242e-09,3.476937651897724e-08,4.706283416390113e-07,4.102786382839304e-06,2.5895734629041036e-05,0.9999694948395064
28,6.208819164103117e-10,1.8005570175898946e-08,2.5269885917899386e-07,2.286707362339154e-06,1.499926050604015e-05,0.9999824427068204
29,3.1044105820515573e-10,9.313226146154648e-09,1.3535221477744621e-07,1.2697031108590722e-06,8.642983934289648e-06,0.999989942337073
30,1.5522062910257802e-10,4.811833702179914e-09,7.23327205618005e-08,7.025276629182586e-07,4.956343522674351e-06,0.9999942638290394
31,7.761041455128877e-11,2.483527265641243e-09,3.857227723199013e-08,3.8743019184002907e-07,2.829435592896302e-06,0.9999967420008005
32,3.8805307275644366e-11,1.2805689400962636e-09,2.0527902348815638e-08,2.1300123463600932e-07,1.6084328924681621e-06,0.9999981567185963
33,1.94027536378221e-11,6.596872236859514e-10,1.0904235744455907e-08,1.1676456859241236e-07,9.107170636520853e-07,0.999998960935042
34,9.70147681891102e-12,3.3954508866188624e-10,5.781961584070908e-09,6.383440226843398e-08,5.137408162222485e-07,0.9999994162935734
